"","raw_batch1_07262021_MT___MT_20210726_001","raw_batch1_07262021_MT___MT_20210726_003","raw_batch1_07262021_MT___MT_20210726_005","raw_batch1_07262021_MT___MT_20210726_007","raw_batch1_07262021_MT___MT_20210726_009","raw_batch1_07262021_MT___MT_20210726_095","raw_batch1_07262021_MT___MT_20210726_097","raw_batch1_07262021_MT___MT_20210726_193","raw_batch1_07262021_MT___Blank_20210726_003"
"F235",0,0,0,0,0,0,0,0,0
"F239",0,0,0,0,0,0,0,0,0
"F240",0,0,0,0,0,0,0,0,0
"F241",0,0,0,0,0,0,0,0,0
"F242",0,0,275731,0,247181,0,337577,0,0
"F243",0,0,113343,0,75490,0,58458,0,0
"F244",0,0,0,0,0,0,0,0,0
"F245",0,0,0,0,0,0,0,0,0
"F246",0,0,0,0,0,0,0,0,0
"F247",0,0,0,0,0,0,0,0,0
"F248",0,0,0,0,0,0,0,0,0
"F250",0,0,0,0,0,0,0,0,0
"F251",0,0,0,0,0,0,0,0,0
"F252",0,0,0,0,0,0,0,0,0
"F253",0,0,0,0,0,0,0,0,0
"F255",45952234,38213995,34360516,31000285,31014277,21249827,20170947,17448507,0
"F256",193246061,136877720,118228717,109215578,110055457,107134606,96207090,87298023,0
"F257",0,0,0,0,0,0,0,0,0
"F258",0,0,0,0,0,0,0,0,0
"F259",0,0,0,0,0,0,0,0,0
"F260",0,0,0,0,0,0,0,0,0
"F262",0,0,0,0,0,0,0,0,0
"F263",0,0,0,0,0,0,0,0,0
"F264",0,0,0,0,0,0,0,0,0
"F267",0,0,0,0,0,0,0,0,0
"F268",0,0,0,0,0,0,0,0,0
"F271",0,0,0,0,0,0,0,0,0
"F272",0,0,0,0,0,0,0,0,0
"F273",0,0,0,0,0,0,0,0,0
"F274",514361,0,0,0,0,0,0,0,0
"F275",495581,0,0,0,0,0,0,0,0
"F280",0,0,0,0,0,0,0,0,0
"F281",0,0,0,0,0,0,0,0,0
"F282",0,0,0,0,0,0,0,0,0
"F283",0,0,0,0,0,0,0,0,0
"F292",0,0,0,0,0,0,0,0,0
"F294",0,0,0,0,0,0,0,0,0
"F296",0,0,0,0,0,0,0,0,0
"F297",0,0,0,0,0,0,0,0,0
"F299",0,0,0,0,0,0,0,0,0
"F300",0,0,0,0,0,0,0,0,0
"F301",0,0,0,0,0,0,0,0,0
"F302",9365482,5000631,3665110,3709122,3367307,2034474,2677751,1040974,0
"F303",0,0,0,0,0,0,0,0,0
"F304",0,0,0,0,0,0,0,0,0
"F305",0,0,0,0,0,0,0,0,0
"F306",0,0,0,0,0,0,0,0,0
"F307",73188035,28812768,18898519,14017056,11099773,111297649,71100070,96774024,20905367
"F308",0,0,0,0,0,0,0,0,0
"F309",0,0,0,0,0,0,0,0,0
"F310",0,0,0,0,0,0,0,0,0
"F321",0,0,0,0,0,0,0,0,0
"F322",0,0,0,0,0,0,0,0,0
"F323",1970743,1339522,1133946,1174253,1183940,1169516,1001373,0,0
"F324",0,0,0,0,0,0,0,0,0
"F325",3533123,2352029,1955754,1788782,1761672,1336546,1296686,1240380,0
"F328",0,0,0,0,0,0,0,0,0
"F329",0,0,0,0,0,0,0,0,0
"F331",0,0,0,0,0,0,0,0,0
"F332",0,0,0,0,0,0,0,0,0
"F333",0,0,0,0,0,0,0,0,0
"F334",0,0,0,0,0,0,0,0,0
"F335",0,0,0,0,0,0,0,0,0
"F338",0,0,0,0,0,0,0,0,0
"F340",1459830,1235741,1143546,1124316,1119094,708429,770026,731307,0
"F341",22885,114757,173935,162036,122457,143402,100011,149787,0
"F344",0,0,0,0,0,992230,0,0,0
"F345",0,0,0,0,0,7754,0,0,0
"F346",0,0,0,0,0,0,0,0,0
"F347",0,0,0,0,0,7109,0,0,0
"F348",0,0,0,0,0,0,0,0,0
"F349",0,0,0,0,0,0,0,0,0
"F351",0,0,0,0,0,0,0,0,0
"F352",0,0,0,0,0,0,0,0,0
"F355",215764,345147,0,243307,364963,0,0,0,0
"F357",1180621,742249,0,661774,593255,0,0,0,0
"F359",13253757,7664246,6933152,6692273,5858954,5054960,5100068,5367810,0
"F360",722039,695604,762670,713398,612422,760957,684918,912384,0
"F361",28636214,28409522,23757992,23533755,23300610,14836188,17638971,14819719,0
"F363",0,0,0,0,0,0,0,0,0
"F364",5621619,4856403,4560690,4318824,4367447,4376182,4436198,4527515,973667
"F365",0,112644,150455,0,0,0,96103,0,0
"F366",0,0,0,0,0,0,0,0,0
"F367",0,0,0,0,0,0,0,0,0
"F368",0,0,0,0,0,0,0,0,0
"F369",0,0,0,0,0,0,0,0,0
"F371",0,0,0,0,0,0,0,0,0
"F372",0,0,0,0,0,0,0,0,0
"F375",1882762,1547132,1757434,1329128,1468554,1741252,1532785,1683817,0
"F377",0,0,0,0,0,0,0,0,0
"F378",0,0,0,0,0,0,0,0,0
"F384",0,0,0,0,0,0,0,0,0
"F385",0,0,0,0,0,0,0,0,0
"F386",0,0,0,0,0,0,0,0,0
"F389",0,0,0,0,0,0,0,0,0
"F395",0,0,0,491906,0,650430,528684,369540,514760
"F396",0,0,0,0,0,9952,6251,175550,6956
"F397",0,0,0,0,0,0,0,0,0
"F398",0,0,0,0,0,0,0,15959,0
"F400",0,0,0,0,0,0,0,0,0
"F401",0,0,0,0,0,0,0,0,0
"F402",0,0,0,0,0,0,0,0,0
"F403",0,0,0,0,0,0,0,0,0
"F404",0,0,0,0,0,0,0,0,0
"F405",0,0,0,0,0,0,0,0,0
"F406",0,0,0,0,0,0,0,0,0
